researcher_id,full_name,faculty_id,primary_program_id,academic_background,profile_summary,research_interests,methodological_expertise,application_domains,years_experience,active
INV-012,Elena Ortiz Ospina,FAC-001,PRG-002,PhD en área afín a arquitecturas digitales; formación profesional relacionada con Ingeniería Electrónica.,"Investigador con experiencia en arquitecturas digitales y ciberseguridad, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",arquitecturas digitales; ciberseguridad,series temporales; optimización,ciberseguridad; IoT,4,True
INV-013,Carlos Suárez Mendoza,FAC-001,PRG-002,MSc en área afín a ciberseguridad; formación profesional relacionada con Ingeniería Electrónica.,"Investigador con experiencia en ciberseguridad y IoT, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",ciberseguridad; IoT,modelamiento estadístico; simulación,IoT; ciberseguridad,7,True
INV-014,Sofía Hernández Rodríguez,FAC-001,PRG-001,PhD en área afín a procesamiento de señales; formación profesional relacionada con Ingeniería de Sistemas.,"Investigador con experiencia en procesamiento de señales y ciberseguridad, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",procesamiento de señales; ciberseguridad,simulación; modelos probabilísticos,ciberseguridad; optimización,10,True
INV-015,Sebastián Cardona Quintero,FAC-001,PRG-003,MSc en área afín a arquitecturas digitales; formación profesional relacionada con Ingeniería Industrial.,"Investigador con experiencia en arquitecturas digitales y IoT, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",arquitecturas digitales; IoT,recuperación de información; optimización,IoT; procesamiento de señales,13,True
INV-016,Lucía Cruz Pérez,FAC-001,PRG-003,PhD en área afín a procesamiento de señales; formación profesional relacionada con Ingeniería Industrial.,"Investigador con experiencia en procesamiento de señales y ciberseguridad, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",procesamiento de señales; ciberseguridad,diseño experimental; clasificación supervisada,ciberseguridad; aprendizaje automático,16,True
INV-017,Tomás Torres Cárdenas,FAC-001,PRG-002,PhD en área afín a optimización; formación profesional relacionada con Ingeniería Electrónica.,"Investigador con experiencia en optimización y ciberseguridad, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",optimización; ciberseguridad,procesamiento de señales; clasificación supervisada,ciberseguridad; arquitecturas digitales,19,True
INV-018,Camila Quintero Castro,FAC-001,PRG-001,MSc en área afín a aprendizaje automático; formación profesional relacionada con Ingeniería de Sistemas.,"Investigador con experiencia en aprendizaje automático y optimización, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",modelos predictivos; clasificación; analítica educativa,clasificación supervisada; calibración de modelos,educación; permanencia estudiantil,4,True
INV-019,Ricardo Giraldo Cruz,FAC-001,PRG-002,PhD en área afín a arquitecturas digitales; formación profesional relacionada con Ingeniería Electrónica.,"Investigador con experiencia en arquitecturas digitales y optimización, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",arquitecturas digitales; optimización,procesamiento de señales; clasificación supervisada,optimización; ciberseguridad,7,True
INV-020,Carolina Rojas Silva,FAC-001,PRG-003,MSc en área afín a ciberseguridad; formación profesional relacionada con Ingeniería Industrial.,"Investigador con experiencia en ciberseguridad y IoT, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",ciberseguridad; IoT,simulación; modelos probabilísticos,IoT; optimización,10,True
INV-021,Nicolás Arias Gómez,FAC-001,PRG-002,PhD en área afín a aprendizaje automático; formación profesional relacionada con Ingeniería Electrónica.,"Investigador con experiencia en aprendizaje automático y optimización, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",aprendizaje automático; optimización,series temporales; clasificación supervisada,optimización; procesamiento de señales,13,True
INV-022,Laura Martínez Salazar,FAC-001,PRG-003,PhD en área afín a arquitecturas digitales; formación profesional relacionada con Ingeniería Industrial.,"Investigador con experiencia en arquitecturas digitales y IoT, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",arquitecturas digitales; IoT,clasificación supervisada; modelamiento estadístico,IoT; aprendizaje automático,16,True
INV-023,Jorge Silva Hernández,FAC-001,PRG-001,MSc en área afín a optimización; formación profesional relacionada con Ingeniería de Sistemas.,"Investigador con experiencia en optimización y ciberseguridad, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",optimización; ciberseguridad,diseño experimental; procesamiento de señales,ciberseguridad; arquitecturas digitales,19,True
INV-024,Juliana Navarro Arias,FAC-001,PRG-001,PhD en área afín a procesamiento de señales; formación profesional relacionada con Ingeniería de Sistemas.,"Investigador con experiencia en procesamiento de señales y ciberseguridad, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",procesamiento de señales; ciberseguridad,diseño experimental; clasificación supervisada,ciberseguridad; IoT,4,True
INV-025,David Pérez Vargas,FAC-001,PRG-002,MSc en área afín a procesamiento de señales; formación profesional relacionada con Ingeniería Electrónica.,"Investigador con experiencia en procesamiento de señales y aprendizaje automático, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",procesamiento de señales; aprendizaje automático,simulación; diseño experimental,aprendizaje automático; ciberseguridad,7,True
INV-026,María Restrepo Acosta,FAC-001,PRG-002,PhD en área afín a aprendizaje automático; formación profesional relacionada con Ingeniería Electrónica.,"Investigador con experiencia en aprendizaje automático y IoT, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",aprendizaje automático; IoT,modelos probabilísticos; análisis causal,IoT; optimización,10,True
INV-027,Felipe Ospina Ortiz,FAC-001,PRG-002,PhD en área afín a ciberseguridad; formación profesional relacionada con Ingeniería Electrónica.,"Investigador con experiencia en ciberseguridad y optimización, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",ciberseguridad; optimización,análisis causal; clasificación supervisada,optimización; procesamiento de señales,13,True
INV-028,Diana Vargas Giraldo,FAC-001,PRG-003,MSc en área afín a aprendizaje automático; formación profesional relacionada con Ingeniería Industrial.,"Investigador con experiencia en aprendizaje automático y arquitecturas digitales, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",aprendizaje automático; arquitecturas digitales,modelamiento estadístico; optimización,arquitecturas digitales; aprendizaje automático,16,True
INV-029,Santiago Mejía Restrepo,FAC-001,PRG-001,PhD en área afín a optimización; formación profesional relacionada con Ingeniería de Sistemas.,"Investigador con experiencia en optimización y aprendizaje automático, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",optimización; aprendizaje automático,diseño experimental; series temporales,aprendizaje automático; arquitecturas digitales,19,True
INV-030,Ana Gómez López,FAC-001,PRG-003,MSc en área afín a IoT; formación profesional relacionada con Ingeniería Industrial.,"Investigador con experiencia en IoT y procesamiento de señales, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",IoT; procesamiento de señales,optimización; modelamiento estadístico,procesamiento de señales; IoT,4,True
INV-031,Daniel Moreno Valencia,FAC-001,PRG-002,PhD en área afín a aprendizaje automático; formación profesional relacionada con Ingeniería Electrónica.,"Investigador con experiencia en aprendizaje automático y ciberseguridad, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",aprendizaje automático; ciberseguridad,análisis causal; clasificación supervisada,ciberseguridad; ciberseguridad,7,True
INV-032,Paula Cárdenas Torres,FAC-001,PRG-002,PhD en área afín a arquitecturas digitales; formación profesional relacionada con Ingeniería Electrónica.,"Investigador con experiencia en arquitecturas digitales y optimización, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",arquitecturas digitales; optimización,series temporales; optimización,optimización; optimización,10,True
INV-033,Mateo López Navarro,FAC-001,PRG-001,MSc en área afín a procesamiento de señales; formación profesional relacionada con Ingeniería de Sistemas.,"Investigador con experiencia en procesamiento de señales y aprendizaje automático, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",procesamiento de señales; aprendizaje automático,recuperación de información; procesamiento de señales,aprendizaje automático; procesamiento de señales,13,True
INV-034,Adriana Mendoza Moreno,FAC-001,PRG-001,PhD en área afín a ciberseguridad; formación profesional relacionada con Ingeniería de Sistemas.,"Investigador con experiencia en ciberseguridad y arquitecturas digitales, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",ciberseguridad; arquitecturas digitales,modelamiento estadístico; optimización,arquitecturas digitales; aprendizaje automático,16,True
INV-035,Andrés Acosta Montoya,FAC-001,PRG-002,MSc en área afín a ciberseguridad; formación profesional relacionada con Ingeniería Electrónica.,"Investigador con experiencia en ciberseguridad y optimización, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",ciberseguridad; optimización,optimización; diseño experimental,optimización; arquitecturas digitales,19,True
INV-036,Valentina Ramírez Cardona,FAC-001,PRG-003,PhD en área afín a optimización; formación profesional relacionada con Ingeniería Industrial.,"Investigador con experiencia en optimización y aprendizaje automático, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",optimización; aprendizaje automático,clasificación supervisada; simulación,aprendizaje automático; IoT,4,True
INV-037,Alejandro Salazar Martínez,FAC-001,PRG-001,PhD en área afín a IoT; formación profesional relacionada con Ingeniería de Sistemas.,"Investigador con experiencia en IoT y aprendizaje automático, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",IoT; aprendizaje automático,clasificación supervisada; series temporales,aprendizaje automático; ciberseguridad,7,True
INV-038,Mónica Montoya Mejía,FAC-001,PRG-001,MSc en área afín a procesamiento de señales; formación profesional relacionada con Ingeniería de Sistemas.,"Investigador con experiencia en procesamiento de señales y ciberseguridad, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",procesamiento de señales; ciberseguridad,modelos probabilísticos; análisis causal,ciberseguridad; optimización,10,True
INV-039,Juan Castro Ramírez,FAC-001,PRG-003,PhD en área afín a optimización; formación profesional relacionada con Ingeniería Industrial.,"Investigador con experiencia en optimización y ciberseguridad, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",optimización; ciberseguridad,optimización; análisis causal,ciberseguridad; procesamiento de señales,13,True
INV-040,Natalia Valencia Suárez,FAC-001,PRG-001,MSc en área afín a IoT; formación profesional relacionada con Ingeniería de Sistemas.,"Investigador con experiencia en IoT y procesamiento de señales, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",IoT; procesamiento de señales,optimización; series temporales,procesamiento de señales; aprendizaje automático,16,True
INV-041,Miguel Rodríguez Rojas,FAC-001,PRG-003,PhD en área afín a arquitecturas digitales; formación profesional relacionada con Ingeniería Industrial.,"Investigador con experiencia en arquitecturas digitales y aprendizaje automático, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",arquitecturas digitales; aprendizaje automático,recuperación de información; series temporales,aprendizaje automático; arquitecturas digitales,19,True
INV-042,Elena Ortiz Ospina,FAC-001,PRG-001,PhD en área afín a IoT; formación profesional relacionada con Ingeniería de Sistemas.,"Investigador con experiencia en IoT y ciberseguridad, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",sensores inalámbricos; sistemas embebidos; monitoreo remoto,procesamiento de señales; diseño IoT,salud; ambiente,4,True
INV-043,Carlos Suárez Mendoza,FAC-002,PRG-005,MSc en área afín a riesgos laborales; formación profesional relacionada con Enfermería.,"Investigador con experiencia en riesgos laborales y salud digital, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",riesgos laborales; salud digital,series temporales; modelos probabilísticos,salud digital; seguridad del paciente,7,True
INV-044,Sofía Hernández Rodríguez,FAC-002,PRG-005,PhD en área afín a seguridad del paciente; formación profesional relacionada con Enfermería.,"Investigador con experiencia en seguridad del paciente y epidemiología, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",seguridad del paciente; epidemiología,modelos probabilísticos; optimización,epidemiología; riesgos laborales,10,True
INV-045,Sebastián Cardona Quintero,FAC-002,PRG-006,MSc en área afín a epidemiología; formación profesional relacionada con Seguridad y Salud en el Trabajo.,"Investigador con experiencia en epidemiología y monitoreo remoto, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",epidemiología; monitoreo remoto,recuperación de información; clasificación supervisada,monitoreo remoto; señales biomédicas,13,True
INV-046,Lucía Cruz Pérez,FAC-002,PRG-004,PhD en área afín a seguridad del paciente; formación profesional relacionada con Medicina.,"Investigador con experiencia en seguridad del paciente y salud digital, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",seguridad del paciente; salud digital,modelamiento estadístico; modelos probabilísticos,salud digital; salud digital,16,True
INV-047,Tomás Torres Cárdenas,FAC-002,PRG-004,PhD en área afín a seguridad del paciente; formación profesional relacionada con Medicina.,"Investigador con experiencia en seguridad del paciente y epidemiología, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",seguridad del paciente; epidemiología,clasificación supervisada; modelos probabilísticos,epidemiología; epidemiología,19,True
INV-048,Camila Quintero Castro,FAC-002,PRG-006,MSc en área afín a monitoreo remoto; formación profesional relacionada con Seguridad y Salud en el Trabajo.,"Investigador con experiencia en monitoreo remoto y salud digital, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",monitoreo remoto; salud digital,modelos probabilísticos; series temporales,salud digital; monitoreo remoto,4,True
INV-049,Ricardo Giraldo Cruz,FAC-002,PRG-006,PhD en área afín a epidemiología; formación profesional relacionada con Seguridad y Salud en el Trabajo.,"Investigador con experiencia en epidemiología y riesgos laborales, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",epidemiología; riesgos laborales,series temporales; simulación,riesgos laborales; seguridad del paciente,7,True
INV-050,Carolina Rojas Silva,FAC-002,PRG-006,MSc en área afín a señales biomédicas; formación profesional relacionada con Seguridad y Salud en el Trabajo.,"Investigador con experiencia en señales biomédicas y salud digital, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",señales biomédicas; salud digital,series temporales; procesamiento de señales,salud digital; riesgos laborales,10,True
INV-051,Nicolás Arias Gómez,FAC-002,PRG-006,PhD en área afín a epidemiología; formación profesional relacionada con Seguridad y Salud en el Trabajo.,"Investigador con experiencia en epidemiología y riesgos laborales, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",epidemiología; riesgos laborales,modelamiento estadístico; recuperación de información,riesgos laborales; señales biomédicas,13,True
INV-052,Laura Martínez Salazar,FAC-002,PRG-004,PhD en área afín a salud digital; formación profesional relacionada con Medicina.,"Investigador con experiencia en salud digital y epidemiología, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",salud digital; epidemiología,modelos probabilísticos; optimización,epidemiología; salud digital,16,True
INV-053,Jorge Silva Hernández,FAC-002,PRG-004,MSc en área afín a riesgos laborales; formación profesional relacionada con Medicina.,"Investigador con experiencia en riesgos laborales y epidemiología, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",riesgos laborales; epidemiología,clasificación supervisada; modelos probabilísticos,epidemiología; epidemiología,19,True
INV-054,Juliana Navarro Arias,FAC-002,PRG-006,PhD en área afín a monitoreo remoto; formación profesional relacionada con Seguridad y Salud en el Trabajo.,"Investigador con experiencia en monitoreo remoto y riesgos laborales, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",monitoreo remoto; riesgos laborales,análisis causal; clasificación supervisada,riesgos laborales; monitoreo remoto,4,True
INV-055,David Pérez Vargas,FAC-002,PRG-004,MSc en área afín a riesgos laborales; formación profesional relacionada con Medicina.,"Investigador con experiencia en riesgos laborales y salud digital, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",riesgos laborales; salud digital,modelos probabilísticos; modelamiento estadístico,salud digital; seguridad del paciente,7,True
INV-056,María Restrepo Acosta,FAC-002,PRG-004,PhD en área afín a seguridad del paciente; formación profesional relacionada con Medicina.,"Investigador con experiencia en seguridad del paciente y salud digital, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",seguridad del paciente; salud digital,simulación; diseño experimental,salud digital; riesgos laborales,10,True
INV-057,Felipe Ospina Ortiz,FAC-002,PRG-005,PhD en área afín a seguridad del paciente; formación profesional relacionada con Enfermería.,"Investigador con experiencia en seguridad del paciente y monitoreo remoto, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",seguridad del paciente; monitoreo remoto,series temporales; procesamiento de señales,monitoreo remoto; señales biomédicas,13,True
INV-058,Diana Vargas Giraldo,FAC-002,PRG-005,MSc en área afín a riesgos laborales; formación profesional relacionada con Enfermería.,"Investigador con experiencia en riesgos laborales y monitoreo remoto, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",riesgos laborales; monitoreo remoto,series temporales; simulación,monitoreo remoto; salud digital,16,True
INV-059,Santiago Mejía Restrepo,FAC-002,PRG-006,PhD en área afín a señales biomédicas; formación profesional relacionada con Seguridad y Salud en el Trabajo.,"Investigador con experiencia en señales biomédicas y seguridad del paciente, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",señales biomédicas; seguridad del paciente,modelos probabilísticos; análisis causal,seguridad del paciente; epidemiología,19,True
INV-060,Ana Gómez López,FAC-002,PRG-006,MSc en área afín a epidemiología; formación profesional relacionada con Seguridad y Salud en el Trabajo.,"Investigador con experiencia en epidemiología y señales biomédicas, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",epidemiología; señales biomédicas,análisis causal; diseño experimental,señales biomédicas; monitoreo remoto,4,True
INV-061,Daniel Moreno Valencia,FAC-002,PRG-005,PhD en área afín a riesgos laborales; formación profesional relacionada con Enfermería.,"Investigador con experiencia en riesgos laborales y seguridad del paciente, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",riesgos laborales; seguridad del paciente,optimización; simulación,seguridad del paciente; seguridad del paciente,7,True
INV-062,Paula Cárdenas Torres,FAC-002,PRG-004,PhD en área afín a señales biomédicas; formación profesional relacionada con Medicina.,"Investigador con experiencia en señales biomédicas y seguridad del paciente, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",señales biomédicas; seguridad del paciente,simulación; recuperación de información,seguridad del paciente; riesgos laborales,10,True
INV-063,Mateo López Navarro,FAC-002,PRG-005,MSc en área afín a señales biomédicas; formación profesional relacionada con Enfermería.,"Investigador con experiencia en señales biomédicas y seguridad del paciente, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",señales biomédicas; seguridad del paciente,simulación; clasificación supervisada,seguridad del paciente; señales biomédicas,13,True
INV-064,Adriana Mendoza Moreno,FAC-002,PRG-005,PhD en área afín a monitoreo remoto; formación profesional relacionada con Enfermería.,"Investigador con experiencia en monitoreo remoto y epidemiología, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",motivación académica; adaptación universitaria; comportamiento estudiantil,modelos psicométricos; análisis longitudinal,educación; comportamiento,16,True
INV-065,Andrés Acosta Montoya,FAC-002,PRG-005,MSc en área afín a epidemiología; formación profesional relacionada con Enfermería.,"Investigador con experiencia en epidemiología y seguridad del paciente, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",epidemiología; seguridad del paciente,optimización; series temporales,seguridad del paciente; epidemiología,19,True
INV-066,Valentina Ramírez Cardona,FAC-002,PRG-004,PhD en área afín a señales biomédicas; formación profesional relacionada con Medicina.,"Investigador con experiencia en señales biomédicas y monitoreo remoto, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",señales biomédicas; monitoreo remoto,simulación; modelamiento estadístico,monitoreo remoto; monitoreo remoto,4,True
INV-067,Alejandro Salazar Martínez,FAC-002,PRG-005,PhD en área afín a seguridad del paciente; formación profesional relacionada con Enfermería.,"Investigador con experiencia en seguridad del paciente y monitoreo remoto, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",seguridad del paciente; monitoreo remoto,modelamiento estadístico; análisis causal,monitoreo remoto; seguridad del paciente,7,True
INV-068,Mónica Montoya Mejía,FAC-002,PRG-004,MSc en área afín a riesgos laborales; formación profesional relacionada con Medicina.,"Investigador con experiencia en riesgos laborales y seguridad del paciente, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",riesgos laborales; seguridad del paciente,modelamiento estadístico; modelos probabilísticos,seguridad del paciente; riesgos laborales,10,True
INV-069,Juan Castro Ramírez,FAC-002,PRG-005,PhD en área afín a monitoreo remoto; formación profesional relacionada con Enfermería.,"Investigador con experiencia en monitoreo remoto y riesgos laborales, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",monitoreo remoto; riesgos laborales,clasificación supervisada; modelamiento estadístico,riesgos laborales; señales biomédicas,13,True
INV-070,Natalia Valencia Suárez,FAC-002,PRG-006,MSc en área afín a riesgos laborales; formación profesional relacionada con Seguridad y Salud en el Trabajo.,"Investigador con experiencia en riesgos laborales y epidemiología, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",riesgos laborales; epidemiología,análisis causal; procesamiento de señales,epidemiología; salud digital,16,True
INV-071,Miguel Rodríguez Rojas,FAC-002,PRG-004,PhD en área afín a riesgos laborales; formación profesional relacionada con Medicina.,"Investigador con experiencia en riesgos laborales y señales biomédicas, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",riesgos laborales; señales biomédicas,optimización; análisis causal,señales biomédicas; epidemiología,19,True
INV-072,Elena Ortiz Ospina,FAC-002,PRG-006,PhD en área afín a señales biomédicas; formación profesional relacionada con Seguridad y Salud en el Trabajo.,"Investigador con experiencia en señales biomédicas y riesgos laborales, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",señales biomédicas; riesgos laborales,clasificación supervisada; optimización,riesgos laborales; monitoreo remoto,4,True
INV-073,Carlos Suárez Mendoza,FAC-002,PRG-004,MSc en área afín a seguridad del paciente; formación profesional relacionada con Medicina.,"Investigador con experiencia en seguridad del paciente y señales biomédicas, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",seguridad del paciente; señales biomédicas,simulación; modelamiento estadístico,señales biomédicas; seguridad del paciente,7,True
INV-074,Sofía Hernández Rodríguez,FAC-003,PRG-009,PhD en área afín a innovación organizacional; formación profesional relacionada con Economía.,"Investigador con experiencia en innovación organizacional y economía regional, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",innovación organizacional; economía regional,recuperación de información; modelamiento estadístico,economía regional; innovación organizacional,10,True
INV-075,Sebastián Cardona Quintero,FAC-003,PRG-007,MSc en área afín a innovación organizacional; formación profesional relacionada con Administración de Empresas.,"Investigador con experiencia en innovación organizacional y series temporales, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",innovación organizacional; series temporales,recuperación de información; clasificación supervisada,series temporales; series temporales,13,True
INV-076,Lucía Cruz Pérez,FAC-003,PRG-008,PhD en área afín a optimización; formación profesional relacionada con Ingeniería Financiera.,"Investigador con experiencia en optimización y series temporales, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",optimización; series temporales,recuperación de información; modelamiento estadístico,series temporales; optimización,16,True
INV-077,Tomás Torres Cárdenas,FAC-003,PRG-008,PhD en área afín a optimización; formación profesional relacionada con Ingeniería Financiera.,"Investigador con experiencia en optimización y economía regional, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",optimización; economía regional,optimización; análisis causal,economía regional; riesgo financiero,19,True
INV-078,Camila Quintero Castro,FAC-003,PRG-007,MSc en área afín a series temporales; formación profesional relacionada con Administración de Empresas.,"Investigador con experiencia en series temporales y optimización, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",series temporales; optimización,diseño experimental; optimización,optimización; analítica empresarial,4,True
INV-079,Ricardo Giraldo Cruz,FAC-003,PRG-008,PhD en área afín a innovación organizacional; formación profesional relacionada con Ingeniería Financiera.,"Investigador con experiencia en innovación organizacional y optimización, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",innovación organizacional; optimización,recuperación de información; diseño experimental,optimización; economía regional,7,True
INV-080,Carolina Rojas Silva,FAC-003,PRG-009,MSc en área afín a series temporales; formación profesional relacionada con Economía.,"Investigador con experiencia en series temporales y analítica empresarial, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",series temporales; analítica empresarial,análisis causal; series temporales,analítica empresarial; innovación organizacional,10,True
