need_id,title,description,originating_unit,context,expected_impact,priority,year,status
NEED-011,Infraestructura urbana inteligente,"La institución requiere fortalecer su capacidad para abordar infraestructura urbana inteligente mediante el aprovechamiento articulado de información, conocimiento previo y capacidades existentes. El problema se expresa en términos de monitoreo estructural, infraestructura urbana y vibraciones, sin prescribir una solución tecnológica específica.",Unidad asociada a FAC-005,Necesidad institucional identificada para mejorar decisiones y articular capacidades relacionadas con monitoreo estructural.,"Mayor capacidad institucional, trazabilidad de decisiones y generación de oportunidades interdisciplinarias.",MEDIUM,2026,OPEN
NEED-012,Optimización energética institucional,"La institución requiere fortalecer su capacidad para abordar optimización energética institucional mediante el aprovechamiento articulado de información, conocimiento previo y capacidades existentes. El problema se expresa en términos de consumo energético, eficiencia energética y edificios, sin prescribir una solución tecnológica específica.",Unidad asociada a FAC-006,Necesidad institucional identificada para mejorar decisiones y articular capacidades relacionadas con consumo energético.,"Mayor capacidad institucional, trazabilidad de decisiones y generación de oportunidades interdisciplinarias.",MEDIUM,2026,OPEN
NEED-013,Detección de fraude financiero,"La institución requiere fortalecer su capacidad para abordar detección de fraude financiero mediante el aprovechamiento articulado de información, conocimiento previo y capacidades existentes. El problema se expresa en términos de fraude financiero, transacciones atípicas y financial anomaly, sin prescribir una solución tecnológica específica.",Unidad asociada a FAC-003,Necesidad institucional identificada para mejorar decisiones y articular capacidades relacionadas con fraude financiero.,"Mayor capacidad institucional, trazabilidad de decisiones y generación de oportunidades interdisciplinarias.",MEDIUM,2026,OPEN
NEED-014,Riesgo crediticio explicable,"La institución requiere fortalecer su capacidad para abordar riesgo crediticio explicable mediante el aprovechamiento articulado de información, conocimiento previo y capacidades existentes. El problema se expresa en términos de riesgo crediticio, transparencia y credit scoring, sin prescribir una solución tecnológica específica.",Unidad asociada a FAC-003,Necesidad institucional identificada para mejorar decisiones y articular capacidades relacionadas con riesgo crediticio.,"Mayor capacidad institucional, trazabilidad de decisiones y generación de oportunidades interdisciplinarias.",HIGH,2026,OPEN
NEED-015,Optimización logística,"La institución requiere fortalecer su capacidad para abordar optimización logística mediante el aprovechamiento articulado de información, conocimiento previo y capacidades existentes. El problema se expresa en términos de logística, ruteo y última milla, sin prescribir una solución tecnológica específica.",Unidad asociada a FAC-001,Necesidad institucional identificada para mejorar decisiones y articular capacidades relacionadas con logística.,"Mayor capacidad institucional, trazabilidad de decisiones y generación de oportunidades interdisciplinarias.",MEDIUM,2026,OPEN
NEED-016,Mantenimiento predictivo,"La institución requiere fortalecer su capacidad para abordar mantenimiento predictivo mediante el aprovechamiento articulado de información, conocimiento previo y capacidades existentes. El problema se expresa en términos de mantenimiento predictivo, fallas y vibraciones, sin prescribir una solución tecnológica específica.",Unidad asociada a FAC-001,Necesidad institucional identificada para mejorar decisiones y articular capacidades relacionadas con mantenimiento predictivo.,"Mayor capacidad institucional, trazabilidad de decisiones y generación de oportunidades interdisciplinarias.",MEDIUM,2026,OPEN
NEED-017,Ciberseguridad basada en comportamiento,"La institución requiere fortalecer su capacidad para abordar ciberseguridad basada en comportamiento mediante el aprovechamiento articulado de información, conocimiento previo y capacidades existentes. El problema se expresa en términos de comportamiento de usuarios, phishing y riesgo humano, sin prescribir una solución tecnológica específica.",Unidad asociada a FAC-001,Necesidad institucional identificada para mejorar decisiones y articular capacidades relacionadas con comportamiento de usuarios.,"Mayor capacidad institucional, trazabilidad de decisiones y generación de oportunidades interdisciplinarias.",MEDIUM,2026,OPEN
NEED-018,Análisis inteligente de producción científica,"La institución requiere fortalecer su capacidad para abordar análisis inteligente de producción científica mediante el aprovechamiento articulado de información, conocimiento previo y capacidades existentes. El problema se expresa en términos de producción científica, tendencias de investigación y bibliometría, sin prescribir una solución tecnológica específica.",Unidad asociada a FAC-006,Necesidad institucional identificada para mejorar decisiones y articular capacidades relacionadas con producción científica.,"Mayor capacidad institucional, trazabilidad de decisiones y generación de oportunidades interdisciplinarias.",MEDIUM,2026,OPEN
NEED-019,Fortalecimiento de capacidades territoriales,"La institución requiere fortalecer su capacidad para abordar fortalecimiento de capacidades territoriales mediante el aprovechamiento articulado de información, conocimiento previo y capacidades existentes. El problema se expresa en términos de desarrollo territorial, capacidades locales y innovación social, sin prescribir una solución tecnológica específica.",Unidad asociada a FAC-003,Necesidad institucional identificada para mejorar decisiones y articular capacidades relacionadas con desarrollo territorial.,"Mayor capacidad institucional, trazabilidad de decisiones y generación de oportunidades interdisciplinarias.",MEDIUM,2026,OPEN
NEED-020,Resiliencia urbana frente a episodios ambientales extremos,"La institución requiere fortalecer su capacidad para abordar resiliencia urbana frente a episodios ambientales extremos mediante el aprovechamiento articulado de información, conocimiento previo y capacidades existentes. El problema se expresa en términos de resiliencia urbana, salud pública y infraestructura, sin prescribir una solución tecnológica específica.",Unidad asociada a FAC-005,Necesidad institucional identificada para mejorar decisiones y articular capacidades relacionadas con resiliencia urbana.,"Mayor capacidad institucional, trazabilidad de decisiones y generación de oportunidades interdisciplinarias.",HIGH,2026,OPEN
NEED-021,Actualización de portafolio de investigación aplicada,La institución requiere consolidar información distribuida para actualización de portafolio de investigación aplicada y sustentar decisiones con evidencia verificable.,Unidad asociada a FAC-003,La información relevante se encuentra distribuida entre distintas fuentes y unidades académicas.,"Mejorar coordinación, trazabilidad y aprovechamiento institucional del conocimiento.",LOW,2026,OPEN
NEED-022,Mapa de capacidades para cooperación internacional,La institución requiere consolidar información distribuida para mapa de capacidades para cooperación internacional y sustentar decisiones con evidencia verificable.,Unidad asociada a FAC-004,La información relevante se encuentra distribuida entre distintas fuentes y unidades académicas.,"Mejorar coordinación, trazabilidad y aprovechamiento institucional del conocimiento.",MEDIUM,2026,OPEN
NEED-023,Identificación de brechas curriculares digitales,La institución requiere consolidar información distribuida para identificación de brechas curriculares digitales y sustentar decisiones con evidencia verificable.,Unidad asociada a FAC-005,La información relevante se encuentra distribuida entre distintas fuentes y unidades académicas.,"Mejorar coordinación, trazabilidad y aprovechamiento institucional del conocimiento.",MEDIUM,2026,OPEN
NEED-024,Priorización de proyectos de innovación regional,La institución requiere consolidar información distribuida para priorización de proyectos de innovación regional y sustentar decisiones con evidencia verificable.,Unidad asociada a FAC-006,La información relevante se encuentra distribuida entre distintas fuentes y unidades académicas.,"Mejorar coordinación, trazabilidad y aprovechamiento institucional del conocimiento.",LOW,2026,OPEN
NEED-025,Seguimiento de resultados de aprendizaje,La institución requiere consolidar información distribuida para seguimiento de resultados de aprendizaje y sustentar decisiones con evidencia verificable.,Unidad asociada a FAC-001,La información relevante se encuentra distribuida entre distintas fuentes y unidades académicas.,"Mejorar coordinación, trazabilidad y aprovechamiento institucional del conocimiento.",MEDIUM,2026,OPEN
NEED-026,Gestión de datos de investigación,La institución requiere consolidar información distribuida para gestión de datos de investigación y sustentar decisiones con evidencia verificable.,Unidad asociada a FAC-002,La información relevante se encuentra distribuida entre distintas fuentes y unidades académicas.,"Mejorar coordinación, trazabilidad y aprovechamiento institucional del conocimiento.",MEDIUM,2026,OPEN
NEED-027,Fortalecimiento de interoperabilidad institucional,La institución requiere consolidar información distribuida para fortalecimiento de interoperabilidad institucional y sustentar decisiones con evidencia verificable.,Unidad asociada a FAC-003,La información relevante se encuentra distribuida entre distintas fuentes y unidades académicas.,"Mejorar coordinación, trazabilidad y aprovechamiento institucional del conocimiento.",LOW,2026,OPEN
NEED-028,Detección temprana de riesgos operativos,La institución requiere consolidar información distribuida para detección temprana de riesgos operativos y sustentar decisiones con evidencia verificable.,Unidad asociada a FAC-004,La información relevante se encuentra distribuida entre distintas fuentes y unidades académicas.,"Mejorar coordinación, trazabilidad y aprovechamiento institucional del conocimiento.",MEDIUM,2026,OPEN
NEED-029,Articulación de laboratorios con docencia,La institución requiere consolidar información distribuida para articulación de laboratorios con docencia y sustentar decisiones con evidencia verificable.,Unidad asociada a FAC-005,La información relevante se encuentra distribuida entre distintas fuentes y unidades académicas.,"Mejorar coordinación, trazabilidad y aprovechamiento institucional del conocimiento.",MEDIUM,2026,OPEN
NEED-030,Seguimiento de proyectos interdisciplinarios,La institución requiere consolidar información distribuida para seguimiento de proyectos interdisciplinarios y sustentar decisiones con evidencia verificable.,Unidad asociada a FAC-006,La información relevante se encuentra distribuida entre distintas fuentes y unidades académicas.,"Mejorar coordinación, trazabilidad y aprovechamiento institucional del conocimiento.",LOW,2026,OPEN
NEED-031,Identificación de expertos para convocatorias,La institución requiere consolidar información distribuida para identificación de expertos para convocatorias y sustentar decisiones con evidencia verificable.,Unidad asociada a FAC-001,La información relevante se encuentra distribuida entre distintas fuentes y unidades académicas.,"Mejorar coordinación, trazabilidad y aprovechamiento institucional del conocimiento.",MEDIUM,2026,OPEN
NEED-032,Análisis de pertinencia de nuevas electivas,La institución requiere consolidar información distribuida para análisis de pertinencia de nuevas electivas y sustentar decisiones con evidencia verificable.,Unidad asociada a FAC-002,La información relevante se encuentra distribuida entre distintas fuentes y unidades académicas.,"Mejorar coordinación, trazabilidad y aprovechamiento institucional del conocimiento.",MEDIUM,2026,OPEN
NEED-033,Uso eficiente de infraestructura científica,La institución requiere consolidar información distribuida para uso eficiente de infraestructura científica y sustentar decisiones con evidencia verificable.,Unidad asociada a FAC-003,La información relevante se encuentra distribuida entre distintas fuentes y unidades académicas.,"Mejorar coordinación, trazabilidad y aprovechamiento institucional del conocimiento.",LOW,2026,OPEN
NEED-034,Mapa de conocimiento para extensión universitaria,La institución requiere consolidar información distribuida para mapa de conocimiento para extensión universitaria y sustentar decisiones con evidencia verificable.,Unidad asociada a FAC-004,La información relevante se encuentra distribuida entre distintas fuentes y unidades académicas.,"Mejorar coordinación, trazabilidad y aprovechamiento institucional del conocimiento.",MEDIUM,2026,OPEN
NEED-035,Detección de redundancias en iniciativas institucionales,La institución requiere consolidar información distribuida para detección de redundancias en iniciativas institucionales y sustentar decisiones con evidencia verificable.,Unidad asociada a FAC-005,La información relevante se encuentra distribuida entre distintas fuentes y unidades académicas.,"Mejorar coordinación, trazabilidad y aprovechamiento institucional del conocimiento.",MEDIUM,2026,OPEN
NEED-036,Evaluación de tendencias tecnológicas emergentes,La institución requiere consolidar información distribuida para evaluación de tendencias tecnológicas emergentes y sustentar decisiones con evidencia verificable.,Unidad asociada a FAC-006,La información relevante se encuentra distribuida entre distintas fuentes y unidades académicas.,"Mejorar coordinación, trazabilidad y aprovechamiento institucional del conocimiento.",LOW,2026,OPEN
NEED-037,Fortalecimiento de semilleros interdisciplinarios,La institución requiere consolidar información distribuida para fortalecimiento de semilleros interdisciplinarios y sustentar decisiones con evidencia verificable.,Unidad asociada a FAC-001,La información relevante se encuentra distribuida entre distintas fuentes y unidades académicas.,"Mejorar coordinación, trazabilidad y aprovechamiento institucional del conocimiento.",MEDIUM,2026,OPEN
NEED-038,Conexión de publicaciones con proyectos activos,La institución requiere consolidar información distribuida para conexión de publicaciones con proyectos activos y sustentar decisiones con evidencia verificable.,Unidad asociada a FAC-002,La información relevante se encuentra distribuida entre distintas fuentes y unidades académicas.,"Mejorar coordinación, trazabilidad y aprovechamiento institucional del conocimiento.",MEDIUM,2026,OPEN
NEED-039,Seguimiento de capacidades en sostenibilidad,La institución requiere consolidar información distribuida para seguimiento de capacidades en sostenibilidad y sustentar decisiones con evidencia verificable.,Unidad asociada a FAC-003,La información relevante se encuentra distribuida entre distintas fuentes y unidades académicas.,"Mejorar coordinación, trazabilidad y aprovechamiento institucional del conocimiento.",LOW,2026,OPEN
NEED-040,Identificación de oportunidades con comunidades,La institución requiere consolidar información distribuida para identificación de oportunidades con comunidades y sustentar decisiones con evidencia verificable.,Unidad asociada a FAC-004,La información relevante se encuentra distribuida entre distintas fuentes y unidades académicas.,"Mejorar coordinación, trazabilidad y aprovechamiento institucional del conocimiento.",MEDIUM,2026,OPEN
NEED-041,Análisis de dependencia tecnológica,La institución requiere consolidar información distribuida para análisis de dependencia tecnológica y sustentar decisiones con evidencia verificable.,Unidad asociada a FAC-005,La información relevante se encuentra distribuida entre distintas fuentes y unidades académicas.,"Mejorar coordinación, trazabilidad y aprovechamiento institucional del conocimiento.",MEDIUM,2026,OPEN
NEED-042,Integración de evidencias para acreditación,La institución requiere consolidar información distribuida para integración de evidencias para acreditación y sustentar decisiones con evidencia verificable.,Unidad asociada a FAC-006,La información relevante se encuentra distribuida entre distintas fuentes y unidades académicas.,"Mejorar coordinación, trazabilidad y aprovechamiento institucional del conocimiento.",LOW,2026,OPEN
